age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country
28,4,33035,8,1,7,3,0,0,0,30,0
40,1,360884,10,0,11,1,0,0,0,50,0
37,5,108320,13,2,11,2,1,0,0,45,0
39,3,124685,14,1,6,1,1,0,0,99,5
37,1,110331,15,2,7,5,0,0,0,60,0
30,1,169186,9,0,10,0,1,0,0,60,0
40,1,99373,6,1,10,3,0,0,0,40,0
65,1,271092,10,1,8,3,0,0,0,40,3
33,1,124827,9,2,9,2,1,0,0,40,0
19,1,89295,10,0,10,0,0,0,0,35,0
18,3,119422,9,0,7,3,0,0,0,30,6
25,1,278404,13,0,1,1,1,0,0,40,0
24,1,172987,13,2,11,2,1,0,0,50,0
54,1,169719,13,2,2,2,1,3103,0,40,0
60,1,80574,9,1,7,3,0,0,0,38,0
33,1,91666,8,1,6,1,1,0,0,40,0
34,1,73585,14,2,1,2,1,0,0,40,3
28,1,315287,9,0,8,4,1,0,0,40,3
38,1,95336,13,2,4,2,1,0,0,45,0
22,1,102632,9,0,4,1,1,0,0,41,0
32,1,342458,13,0,1,1,1,0,0,40,0
34,1,170017,9,1,4,0,1,0,0,40,0
21,1,164920,10,0,7,0,0,0,0,40,0
41,1,130126,15,2,1,2,1,0,0,80,0
22,1,269474,10,0,8,0,1,0,0,10,0
45,4,32172,10,0,5,1,1,0,0,50,0
27,4,131298,6,2,4,2,1,0,0,48,0
44,1,136986,10,1,8,1,1,0,0,40,0
40,1,191982,11,1,1,3,0,0,0,40,0
49,1,250821,15,0,5,4,1,0,0,48,0
32,1,211743,13,0,2,1,1,0,0,45,0
30,1,154120,13,2,6,2,1,0,1977,60,0
44,4,187164,9,1,9,3,1,0,0,60,0
50,1,200960,10,2,2,2,1,0,0,50,0
40,1,145441,9,2,6,2,1,0,1485,40,0
36,1,353524,9,1,6,0,0,1831,0,40,0
42,1,205195,9,2,4,2,1,0,0,40,0
42,1,156526,10,0,11,1,1,0,0,33,0
23,5,203353,13,0,1,0,0,0,0,45,0
29,6,242147,9,1,8,1,1,0,0,45,0
22,1,313817,9,2,9,2,1,0,0,50,0
39,1,93174,9,1,9,0,1,0,0,60,0
41,1,151504,13,2,6,2,1,7688,0,50,0
34,0,41493,13,1,0,0,0,0,0,40,0
49,1,188515,10,1,8,3,0,0,0,40,0
52,5,255927,10,3,8,1,0,0,0,24,0
32,1,174201,9,2,12,2,1,0,0,38,0
37,4,31095,11,2,5,2,1,0,0,60,0
36,1,334291,10,2,4,2,1,0,1887,40,0
31,1,101562,9,2,10,5,0,0,0,55,0
58,1,141807,3,2,10,2,1,0,0,40,7
27,1,192936,9,1,8,3,0,0,0,40,0
32,1,252646,11,2,4,2,1,0,0,40,0
22,1,91733,10,0,7,0,0,0,0,35,0
21,1,119039,10,0,8,0,0,0,0,18,0
20,1,143062,9,0,10,0,1,0,0,40,0
38,6,238342,13,2,2,2,1,7688,0,42,0
34,1,173495,10,2,4,2,1,0,0,48,0
41,1,175398,9,1,10,1,0,0,0,45,0
26,1,155213,13,0,1,1,1,0,0,48,0
20,1,88126,10,0,8,0,1,0,0,9,8
31,1,202822,10,1,8,3,0,0,0,40,0
21,1,291232,10,0,7,1,1,0,0,40,0
33,1,301867,10,0,8,3,0,0,0,35,0
70,3,131699,13,1,6,3,0,0,0,55,0
30,1,97757,11,2,1,5,0,0,0,36,0
45,1,83064,13,2,2,2,1,0,0,50,0
53,1,35102,10,1,8,1,0,0,0,34,0
44,5,229148,10,2,12,2,1,0,0,40,0
37,1,256636,9,2,9,2,1,0,0,40,0
34,1,212781,13,2,6,2,1,0,0,40,0
58,1,102791,9,1,7,0,0,0,0,40,0
26,1,188767,13,0,2,0,1,0,0,40,0
33,1,232356,9,2,2,2,1,0,1672,55,0
70,1,142851,5,2,6,2,1,0,0,18,0
29,6,128553,11,0,8,3,0,0,0,40,0
27,1,214695,9,0,2,0,1,0,0,60,0
43,3,215458,16,0,1,1,1,99999,0,45,0
26,1,108019,9,0,4,0,1,3325,0,40,0
26,1,523067,10,0,1,0,1,0,0,3,9
57,1,188872,3,1,9,3,1,6497,0,40,0
17,1,79464,7,0,8,0,0,0,0,12,0
39,1,223792,9,2,12,2,1,0,0,72,0
17,5,192387,5,0,7,0,1,0,0,45,0
40,1,163434,9,0,4,1,1,0,0,50,0
31,1,104509,13,0,2,1,0,0,0,65,0
25,1,185942,14,0,1,0,0,0,0,40,0
31,5,194141,9,2,3,2,1,0,0,48,0
29,1,105422,9,2,1,2,1,0,0,40,0
75,1,187424,9,2,4,2,1,0,0,20,0
50,5,168672,14,2,1,5,0,0,1902,40,0
28,1,129460,5,0,4,1,1,0,0,40,9
44,1,75012,9,2,5,2,1,0,0,80,0
44,5,101689,10,1,8,3,0,0,0,40,0
22,1,663291,10,2,10,2,1,2105,0,40,0
27,1,50132,10,1,2,1,1,0,0,50,0
64,1,180624,12,0,1,4,0,0,0,30,0
32,1,123430,9,2,5,2,1,0,0,65,0
47,1,214800,11,2,12,2,1,0,0,40,0
47,1,298037,11,1,1,3,0,0,0,44,0
31,1,437200,10,2,5,2,1,0,0,40,10
23,1,185948,9,0,4,3,1,0,0,40,0
43,6,136105,9,2,8,5,0,0,1848,40,0
55,5,286967,6,2,4,2,1,0,0,45,0
68,4,150904,9,3,4,1,0,0,0,35,0
46,3,125892,13,2,1,2,1,0,1977,60,0
41,1,147099,14,1,6,3,0,0,0,40,0
55,1,205422,6,2,7,5,0,0,0,40,0
33,4,312055,13,2,2,2,1,0,0,45,0
42,1,184682,11,1,11,1,0,0,0,30,0
41,4,223763,14,2,4,2,1,0,0,65,0
20,1,169600,10,0,1,0,0,2176,0,12,0
30,1,30101,10,2,4,2,1,0,0,40,0
64,1,391121,4,2,5,2,1,0,0,40,0
39,1,108943,7,1,7,3,0,0,0,40,0
27,1,106562,13,0,1,1,0,0,0,50,0
56,3,205601,16,2,1,2,1,99999,0,70,0
47,1,176893,9,1,4,1,1,8614,0,44,0
43,1,35210,10,1,8,3,0,0,0,40,0
22,1,236907,10,0,12,0,1,0,0,20,0
58,1,72812,6,0,7,1,1,0,0,40,0
31,1,47296,10,2,8,5,0,0,1740,20,0
60,1,177665,9,2,4,2,1,0,0,35,0
31,1,100997,10,2,1,2,1,0,0,40,0
30,1,49795,9,0,8,1,1,0,0,40,0
52,3,146574,15,2,1,2,1,0,0,40,0
42,1,37869,10,1,10,1,1,0,1590,40,0
34,1,203357,10,0,8,4,0,0,0,40,0
35,1,202027,13,2,12,2,1,7298,0,35,0
56,3,267763,9,2,6,2,1,0,0,40,3
35,1,48779,9,2,5,2,1,0,0,35,0
41,2,109762,14,0,1,1,1,0,0,40,0
38,5,162613,14,0,1,1,0,0,2258,60,0
32,1,364657,13,2,1,2,1,0,0,50,0
57,3,42959,13,2,2,5,0,0,0,40,0
72,0,31327,13,2,0,2,1,0,0,20,0
74,1,70234,9,3,2,3,0,0,0,26,0
45,4,160167,6,2,4,2,1,0,0,70,0
20,2,243986,10,0,1,0,0,0,0,20,0
59,6,115389,10,2,4,2,1,0,0,36,0
21,1,25265,11,0,10,1,1,0,0,30,0
38,1,122952,9,4,4,3,0,0,0,35,0
41,1,95047,11,2,8,5,0,7688,0,44,0
31,1,120672,7,1,12,4,1,0,1721,40,0
17,1,400225,7,0,2,0,0,0,0,20,0
38,1,272476,13,2,1,5,0,0,0,24,0
51,5,169182,5,3,7,1,0,0,0,45,11
20,1,143604,9,0,7,0,0,0,0,40,0
44,1,198096,13,2,2,2,1,7688,0,40,0
34,1,38223,11,2,4,2,1,0,0,40,0
46,2,135854,9,2,7,2,1,0,0,40,0
19,1,366109,6,0,7,4,1,0,0,40,0
50,1,410186,9,2,4,2,1,0,0,40,0
30,0,197827,10,2,0,2,1,0,0,40,0
47,4,184682,9,4,2,3,0,0,0,35,0
22,1,46645,13,0,1,1,0,0,0,9,0
20,1,219262,10,0,2,0,1,0,0,40,0
23,1,117789,13,0,1,1,0,0,0,60,0
38,4,357962,5,1,4,1,1,0,0,40,0
67,4,98921,12,2,6,2,1,0,0,50,0
57,1,210496,6,3,7,3,0,0,0,40,0
29,3,187450,13,2,2,2,1,0,0,50,0
49,1,200198,9,2,7,2,1,0,0,40,0
35,1,30529,9,0,8,1,1,0,0,40,0
31,5,156464,13,0,1,4,1,0,0,40,3
40,5,147206,11,2,4,2,1,0,0,35,0
40,1,222011,14,0,1,1,0,3325,0,40,0
42,1,325353,12,2,8,2,1,7688,0,42,0
43,1,119297,9,2,7,2,1,0,0,40,0
28,1,178489,13,0,6,3,0,0,0,45,3
33,1,213002,13,0,1,1,1,0,1408,36,0
45,4,155489,10,2,2,2,1,0,0,65,0
28,4,51461,9,2,5,2,1,0,0,40,0
56,1,131608,9,2,10,2,1,0,0,40,12
48,0,185291,13,2,0,2,1,0,0,6,0
41,1,424478,10,2,4,2,1,0,0,45,0
47,5,153536,14,2,6,2,1,0,0,37,0
59,1,230899,5,4,10,3,0,0,0,40,10
18,1,39222,7,0,12,0,1,0,0,30,0
51,1,63424,14,2,1,5,0,0,0,40,0
38,1,85244,13,4,4,1,1,0,0,40,0
33,6,207723,14,0,1,1,1,0,0,40,3
40,1,291192,9,3,2,1,0,0,0,40,0
67,1,158301,9,1,9,1,1,0,0,60,0
67,0,165103,13,2,0,2,1,0,2174,50,0
28,1,185127,10,0,11,1,1,0,0,54,0
37,1,103925,10,0,11,4,0,0,0,40,0
46,1,87250,13,4,11,3,0,0,0,40,0
31,4,348038,13,2,1,2,1,0,1902,50,13
17,0,280670,6,0,0,0,0,0,0,40,0
18,1,311795,8,0,2,0,0,0,0,20,0
67,1,227113,14,2,1,2,1,0,2457,40,0
39,4,122852,9,2,9,2,1,0,0,45,0
42,3,196514,13,0,1,1,1,0,0,40,0
44,1,231793,9,0,6,1,0,0,0,52,0
53,1,68684,9,2,9,2,1,0,0,40,0
48,5,148121,13,5,8,3,0,0,0,40,14
30,1,170130,9,1,8,3,0,0,0,40,0
25,1,335376,12,0,8,0,0,0,0,38,0
40,1,175642,13,0,1,1,0,0,0,60,0
28,1,208249,10,1,11,1,1,0,0,24,0
31,5,144949,9,1,4,3,1,0,0,40,0
52,1,187356,6,2,10,2,1,0,0,41,0
21,1,349365,10,0,8,0,0,0,0,15,0
26,1,105787,9,0,4,0,1,0,0,36,0
34,1,35683,10,1,10,1,0,0,0,40,0
47,4,102583,13,0,2,1,1,0,0,35,0
37,1,216129,9,0,4,1,0,0,0,45,0
36,1,233571,10,1,6,1,0,0,0,4,0
36,1,361888,9,2,9,2,1,0,0,45,0
45,4,216999,9,2,6,2,1,0,0,40,0
31,1,111883,9,2,9,2,1,0,0,50,0
76,3,99328,13,2,5,2,1,6514,0,40,0
42,1,363591,9,1,4,3,1,0,0,40,0
21,0,405684,9,0,0,4,1,0,0,35,10
43,6,369468,13,2,1,2,1,0,0,40,0
31,1,206541,10,2,8,2,1,0,0,40,0
38,4,164593,13,0,6,1,1,0,0,30,3
53,6,227836,10,1,5,1,1,0,0,40,0
37,1,167396,9,2,7,2,1,0,0,40,1
26,1,172421,10,2,2,2,1,0,0,40,0
22,1,124454,10,0,2,1,1,0,0,30,0
23,1,376416,9,0,9,0,1,0,0,40,0
46,1,195416,13,0,1,1,0,0,0,44,0
38,1,186376,13,2,8,2,1,0,0,42,0
74,1,147558,10,1,2,1,0,7262,0,30,0
32,1,267458,12,2,5,2,1,0,0,40,0
23,1,203203,13,0,1,1,0,0,0,40,0
63,0,231777,14,2,0,2,1,0,0,30,0
43,5,114859,10,2,9,2,1,0,0,17,0
32,1,185433,10,2,8,5,0,0,0,40,0
45,1,178319,16,2,1,2,1,7688,0,50,0
40,4,145246,10,1,1,0,1,0,0,40,0
18,1,178759,10,0,2,0,0,0,0,15,0
34,1,220362,13,0,6,0,1,0,0,40,0
32,1,195891,12,2,1,2,1,0,0,45,0
68,0,152157,9,3,0,1,0,0,0,20,0
22,1,187703,11,0,7,4,1,0,0,40,1
41,1,154194,9,0,2,0,0,0,0,40,0
44,5,141186,14,1,1,1,0,8614,0,35,0
36,1,104772,9,1,4,3,1,0,0,48,0
56,4,32855,10,2,5,2,1,0,0,50,0
34,1,187215,13,2,1,5,0,15024,0,36,0
42,1,301080,9,1,8,3,0,0,0,40,0
56,0,119254,6,1,0,1,0,0,0,40,0
21,1,211391,10,0,8,1,0,0,0,27,0
41,1,118721,8,1,8,1,1,0,0,40,0
61,1,48549,10,0,6,1,1,0,0,38,0
63,4,106551,9,2,4,2,1,0,0,40,0
19,5,202184,10,0,8,0,1,0,0,15,0
56,1,329654,13,2,6,5,0,7688,0,50,0
49,1,323798,10,1,6,1,1,3325,0,50,0
57,5,148509,13,2,1,2,1,0,0,35,6
40,4,27242,9,2,5,2,1,0,0,84,0
20,1,212582,10,0,7,0,0,0,0,16,0
47,1,464945,9,0,9,1,1,0,0,45,0
30,1,207668,10,0,2,0,1,0,0,30,0
42,1,234633,7,2,9,2,1,0,0,47,0
37,6,22201,13,2,8,2,1,7298,0,40,14
28,4,54683,10,0,4,1,1,0,1590,40,0
61,1,208919,14,2,2,2,1,0,0,60,0
37,5,244803,9,2,4,2,1,0,0,40,3
46,6,330901,10,2,6,2,1,0,0,40,0
19,1,252862,11,0,1,0,0,0,0,40,0
24,1,207940,9,2,7,5,0,0,0,30,0
49,5,163229,9,2,3,2,1,0,0,56,0
22,6,280567,10,0,9,0,1,0,0,4,0
45,4,118081,10,2,7,2,1,3103,0,42,0
32,2,304212,9,0,6,1,1,0,0,50,0
53,5,175897,9,2,4,2,1,0,0,40,0
54,0,191659,3,2,0,2,1,0,0,40,0
66,0,170617,14,3,0,1,1,0,0,6,0
41,1,197583,6,2,9,2,1,0,0,40,0
24,1,172232,9,2,10,2,1,0,0,42,0
48,5,186172,12,2,3,2,1,0,0,40,0
50,1,98975,13,2,6,2,1,15024,0,40,0
37,1,78374,9,2,8,5,0,0,0,38,5
43,1,256813,14,2,1,2,1,0,1902,40,0
49,1,240841,4,1,7,3,0,0,0,35,0
62,1,123582,6,1,7,3,0,0,0,40,0
68,1,104438,13,2,1,2,1,0,0,40,12
41,5,32185,14,2,6,2,1,0,0,40,0
23,1,227471,9,0,12,0,1,0,0,24,0
46,5,60751,11,2,6,2,1,0,0,40,0
66,1,344436,9,3,2,4,0,0,0,8,0
22,1,400966,10,0,8,0,0,0,0,40,0
24,1,138892,9,2,4,2,1,0,0,40,0
31,1,303851,9,2,9,2,1,0,0,50,0
53,1,258832,9,0,7,4,1,0,0,10,14
27,0,135046,10,0,0,3,0,0,0,40,0
47,1,379118,4,2,4,2,1,0,0,60,0
24,1,194848,13,0,11,0,1,0,0,40,0
53,1,209022,7,1,7,1,0,0,0,37,0
55,0,105138,9,2,0,5,0,0,0,40,0
48,6,277946,10,2,4,2,1,0,0,40,0
34,2,101562,9,0,7,0,0,0,0,40,0
40,1,349405,11,2,1,5,0,0,0,36,0
46,1,261059,14,2,1,2,1,0,1977,50,0
20,1,59948,9,0,7,0,0,0,0,18,0
30,1,162370,13,0,6,1,0,0,0,35,0
42,4,138162,13,2,6,2,1,0,0,45,0
64,1,181232,7,2,4,2,1,0,2179,40,0
31,1,336543,9,2,6,2,1,0,0,45,0
58,1,56392,10,2,2,2,1,0,0,40,0
54,1,27484,9,2,6,2,1,0,0,40,0
41,4,126094,9,2,6,2,1,0,0,38,0
37,2,354929,12,1,3,1,1,0,0,38,0
49,2,336509,6,2,7,2,1,0,0,40,0
29,1,222249,9,0,8,4,0,0,0,40,0
59,1,176118,14,2,1,2,1,0,0,7,0
43,3,244945,13,2,1,2,1,0,0,60,0
27,2,122540,10,0,4,4,1,0,0,40,0
33,1,589155,10,2,10,2,1,0,0,50,0
24,1,253190,9,2,2,2,1,0,0,45,0
76,0,172637,10,2,0,2,1,0,0,20,0
45,1,120724,14,2,6,2,1,4386,0,40,0
23,4,236804,10,0,5,0,1,0,0,35,0
31,1,125457,9,0,4,1,1,0,0,45,0
71,1,182395,13,0,4,1,1,11678,0,45,0
53,1,124076,16,2,1,5,0,99999,0,37,0
36,1,86143,11,0,4,0,1,0,0,40,0
48,1,233511,9,2,4,2,1,0,0,40,0
57,1,103403,3,2,9,2,1,0,0,40,0
35,1,186819,13,2,11,2,1,0,0,48,0
24,1,461678,10,2,5,2,1,0,0,50,0
31,1,77143,8,4,9,3,1,0,0,40,0
42,2,211915,10,4,11,3,0,0,0,40,0
36,1,186110,10,2,9,2,1,0,0,40,0
32,1,234976,10,2,6,5,0,0,0,55,0
20,1,187592,10,0,2,0,1,0,0,40,0
33,1,231826,4,2,10,2,1,0,0,40,10
35,1,190759,7,4,4,3,1,0,0,40,0
24,1,281221,13,0,8,4,0,0,0,40,15
26,2,294400,9,2,3,2,1,0,0,38,0
38,1,298841,9,1,8,0,0,0,0,40,0
47,1,139268,9,2,11,2,1,0,0,40,0
59,1,136413,13,2,2,2,1,0,0,40,0
27,1,85126,9,0,10,1,0,0,0,40,0
63,1,154526,10,0,6,1,0,0,0,40,0
33,1,164864,13,1,1,3,0,0,323,40,0
27,1,203558,10,2,1,5,0,0,0,40,0
52,1,198744,9,3,2,1,0,0,0,40,0
52,1,129177,13,3,7,1,0,0,2824,20,0
37,1,188763,13,2,1,2,1,0,0,45,0
18,1,87157,8,0,7,0,1,0,0,25,0
21,1,190805,9,2,12,2,1,0,0,32,0
26,1,224567,7,0,2,1,1,0,0,45,0
33,1,168981,11,0,1,3,0,0,0,55,0
26,1,197292,9,0,8,1,0,0,0,50,0
23,2,435835,13,0,1,1,1,0,0,7,0
27,5,24988,11,0,11,1,0,0,1564,72,0
29,1,144808,10,2,6,0,0,0,0,40,0
56,1,133876,13,2,1,2,1,0,0,40,0
25,1,122999,10,0,11,4,1,0,0,40,0
46,1,465974,7,0,9,0,1,0,0,30,0
50,1,190762,3,2,12,2,1,0,0,40,10
46,5,172822,9,2,9,2,1,0,0,40,0
50,5,259377,14,2,1,5,0,15024,0,40,0
28,1,138283,11,0,7,1,0,0,0,40,0
34,1,162442,9,2,8,5,0,0,0,20,0
58,1,247276,4,3,7,1,0,0,0,30,0
38,0,70282,14,2,0,5,0,15024,0,2,0
52,1,128814,10,1,7,3,0,0,0,50,0
43,1,83411,10,2,2,2,1,0,0,50,0
45,1,199058,13,2,6,2,1,0,0,48,3
21,1,70261,10,0,7,0,1,0,0,30,0
37,1,34180,9,2,4,2,1,0,0,40,0
30,1,198265,13,2,1,2,1,0,0,40,0
27,1,263552,9,0,8,1,1,0,0,50,0
73,1,29778,9,3,7,1,0,0,0,37,0
21,0,117210,10,0,0,1,1,0,0,40,0
38,1,197113,10,1,8,3,0,0,0,20,0
47,2,287547,13,2,1,5,0,0,0,40,0
34,4,56964,9,2,9,2,1,0,0,35,0
25,1,404616,13,2,6,2,1,0,0,40,0
26,5,211497,10,2,1,2,1,0,0,40,0
32,1,205152,13,0,4,0,1,0,0,40,0
30,1,299507,12,4,7,3,0,0,0,40,0
46,1,178768,9,1,11,1,0,0,0,20,0
23,1,87867,9,0,2,0,1,0,0,35,0
22,1,216867,4,2,10,2,1,0,0,40,10
55,1,164970,9,2,7,2,1,0,0,38,0
25,1,114345,5,0,4,3,1,914,0,40,0
18,1,120544,5,0,7,0,1,0,0,15,0
53,1,117496,5,1,7,1,0,0,0,36,16
40,1,167919,9,2,4,2,1,0,0,40,0
41,1,288679,9,2,4,2,1,0,0,40,0
59,1,38573,10,2,6,2,1,0,0,40,0
21,1,323497,9,0,7,0,1,0,0,36,0
53,1,304353,10,2,4,2,1,0,0,36,0
45,1,272442,14,2,1,2,1,0,0,50,0
32,3,235847,14,0,6,1,0,0,0,52,0
19,5,167816,9,1,6,1,0,0,0,35,0
42,5,227065,14,0,1,1,1,0,0,22,0
56,0,188166,9,2,0,2,1,0,0,40,0
35,1,340018,6,0,7,3,0,0,0,38,0
51,5,251346,5,2,7,5,0,0,0,38,13
22,1,244773,9,0,2,0,0,0,0,15,0
56,1,147055,5,1,3,1,1,0,0,40,0
50,4,36480,6,1,4,1,1,0,0,45,0
18,1,243313,9,0,2,0,0,0,0,40,0
50,1,197322,7,2,6,2,1,0,0,50,0
41,1,227065,9,0,7,0,1,0,0,40,0
51,1,222615,9,2,10,2,1,0,0,40,0
57,1,176079,9,1,8,1,0,0,0,40,0
50,6,36489,10,1,6,3,1,0,0,40,0
70,4,36311,13,2,1,2,1,20051,0,35,0
39,4,48063,10,2,5,2,1,0,0,60,0
24,1,230126,12,2,7,2,1,0,0,40,0
51,1,145409,9,2,4,2,1,0,0,40,0
55,1,193130,13,2,1,2,1,0,0,40,0
57,1,186361,11,0,7,0,0,0,0,40,0
27,1,367329,11,2,5,2,1,0,0,40,0
31,0,283531,9,1,0,3,0,0,0,20,0
24,1,72143,13,0,2,1,0,0,0,20,0
45,3,160440,9,1,6,1,1,0,0,42,0
26,1,176729,13,0,4,1,1,0,0,45,0
56,4,249368,9,5,6,1,1,0,0,70,0
31,1,118161,9,2,7,2,1,0,0,40,0
23,4,188925,9,2,12,0,1,0,0,40,0
62,4,224520,9,2,2,2,1,0,0,90,0
18,2,391257,10,0,7,1,0,0,0,40,0
29,1,184806,15,0,1,4,1,0,0,50,0
20,1,68358,10,0,8,0,0,0,0,12,0
36,5,161132,10,0,3,1,1,0,0,56,0
56,3,109856,13,2,6,2,1,15024,0,50,0
36,1,129263,9,3,7,1,0,0,0,40,0
18,0,79990,7,0,0,0,1,0,0,35,0
22,1,135716,9,2,12,2,1,0,0,40,0
63,1,187919,14,2,1,2,1,5013,0,45,0
17,0,148769,9,0,0,0,1,0,0,40,0
42,1,182402,9,2,4,2,1,0,1887,50,0
76,0,84755,10,3,0,3,0,0,0,40,0
68,1,339168,13,2,9,2,1,0,0,30,0
47,4,84735,14,2,1,5,0,0,0,20,0
34,1,317809,13,2,6,2,1,0,0,50,3
24,1,214810,11,0,2,1,0,0,0,35,0
19,1,170720,9,0,2,0,1,0,0,20,0
26,4,201579,3,0,1,3,1,0,0,14,10
25,1,157900,10,4,8,3,0,0,0,40,0
51,2,172022,14,0,1,1,1,0,0,40,0
56,1,155657,4,1,10,1,0,0,0,20,17
28,1,175343,13,2,2,2,1,0,0,40,0
22,1,255252,9,0,4,0,1,0,0,40,0
87,0,97295,9,3,0,1,0,0,0,3,0
37,1,318168,9,0,10,1,1,1055,0,20,0
23,1,236769,10,0,12,0,1,0,0,40,0
24,1,206671,11,2,4,2,1,0,0,40,0
26,2,130557,13,0,6,1,0,0,0,35,0
39,4,34066,10,2,4,2,1,0,0,50,0
30,1,148524,9,2,9,2,1,0,2057,40,0
23,1,268145,13,0,6,1,0,0,0,45,0
28,4,160731,13,2,5,2,1,0,0,50,0
34,5,167999,9,1,8,3,0,0,0,33,0
57,1,107443,2,2,12,2,1,0,0,40,18
26,5,27834,13,0,3,1,1,0,0,40,0
24,1,111450,9,0,9,3,1,0,0,40,0
46,1,281647,13,1,9,1,1,0,0,40,0
27,1,217200,10,0,8,1,1,0,0,40,0
41,1,322980,9,4,8,1,1,2354,0,40,0
18,1,378707,6,0,2,0,0,0,0,20,0
42,1,156580,13,2,2,5,0,0,0,40,13
35,1,241998,13,2,6,2,1,0,0,45,0
60,2,234854,16,2,1,2,1,0,1902,40,0
38,1,171482,9,2,4,2,1,0,1672,50,0
24,1,243368,1,0,5,1,1,0,0,36,10
29,1,351324,13,0,2,0,0,0,0,40,0
27,4,404998,11,0,4,0,1,0,0,40,0
52,5,152795,10,2,4,2,1,0,0,40,0
50,1,178529,7,1,3,1,0,0,0,40,0
59,6,200700,12,2,5,2,1,0,0,40,0
24,0,247734,13,0,0,0,1,0,0,30,0
57,1,223214,9,2,2,2,1,0,0,50,0
34,1,220840,3,2,5,2,1,0,0,40,10
46,1,110151,11,1,6,3,0,0,0,45,0
58,4,157786,9,2,6,2,1,0,0,40,0
41,1,171231,10,2,4,2,1,0,0,40,19
34,1,230246,9,0,4,1,1,2202,0,99,0
31,1,83413,9,0,2,0,1,0,0,40,0
20,1,56322,10,0,7,0,1,0,0,20,0
45,1,289353,9,2,9,2,1,0,0,24,0
59,1,97168,6,2,4,2,1,0,0,40,0
34,1,119153,7,2,9,2,1,0,0,50,0
43,5,193755,13,2,1,2,1,0,0,40,0
24,1,165475,9,0,5,1,1,0,0,25,0
30,1,130369,11,4,1,3,0,0,0,40,0
19,1,184710,10,0,11,0,1,0,0,30,0
67,4,173935,13,2,6,2,1,0,0,8,0
34,1,312055,13,0,6,1,1,0,0,40,0
30,1,159323,10,1,2,3,0,0,0,65,16
29,4,58744,12,0,7,0,1,0,0,60,0
31,1,120857,9,2,2,5,0,0,0,18,0
27,1,124953,9,0,7,1,1,0,1980,40,0
28,5,191088,13,1,1,1,0,2354,0,60,0
67,0,183420,9,2,0,2,1,0,0,21,0
23,0,148751,10,0,0,1,0,0,0,35,0
18,1,216284,7,0,8,0,0,0,0,20,0
33,3,49795,13,0,1,1,1,0,0,45,0
30,4,189265,12,1,8,1,0,0,0,40,0
